id;firstname;lastname;title;sex;country;birthdate;deathdate;birthplace;deathplace
7121;John;Riddle;\N;M;GB;1873-00-00;\N;\N;\N
7122;Adam;Slade;\N;M;GB;1875-00-00;\N;Croydon;\N
7123;Fryderyk;Pautsch;\N;M;PL;1877-00-00;1950-00-00;Ivano-Frankivs'k;Cracow
7124;Anaïs;Folin;\N;F;\N;1892-00-00;\N;France;\N
7125;Inglis;Sheldon-Williams;\N;M;GB;1870-00-00;1940-00-00;Hampshire;Tonbridge
7126;Alvaro;Guevara;\N;M;CL;1894-00-00;1951-00-00;Valparaíso;Aix-en-Provence
7127;Rhoda;Waley;\N;F;GB;1895-00-00;1985-00-00;London;\N
7128;Harold;Williamson;\N;M;GB;1898-00-00;1972-00-00;Manchester;Sale, Greater Manchester
7129;Allan;Gwynne-Jones;\N;M;GB;1892-00-00;1982-00-00;London;\N
7130;Knox;Madeline;\N;F;GB;1890-00-00;1975-00-00;Grantham;\N
7131;Hester;Frood;\N;F;GB;1882-00-00;1971-00-00;Bulls;Topsham
7132;Eleanor;Best;\N;F;GB;1875-00-00;1957-00-00;Amport;\N
7133;F. Montagu;Pollock;Sir;M;\N;\N;\N;\N;\N
7134;Dora;Carrington;\N;F;GB;1893-00-00;1932-00-00;Hereford;Berkshire
7135;Theodosia;Townsend;\N;F;\N;1893-00-00;1980-00-00;Kilmallock;London
7136;Henri-A.-M.;Colen;\N;M;\N;\N;\N;\N;\N
7137;Karel;Collens;\N;M;BE;1869-00-00;1901-00-00;Antwerp;\N
7138;Alfred;Hagel;\N;M;AT;1885-00-00;1945-00-00;Vienna;Vienna
7139;Marguérite;Corradini;\N;F;\N;\N;\N;\N;\N
7140;Edouard;Daems;\N;M;\N;\N;\N;\N;\N
7141;Anna;De Barsy;\N;F;BE;1878-00-00;1949-00-00;Brussels;Antwerp
7142;Alfons De;Clercq;\N;M;BE;1868-00-00;1945-00-00;Turnhout;Antwerp
7143;Jan De;Graef;\N;M;BE;1877-00-00;1952-00-00;Antwerp;Berchem
7144;Edouard de;Jans;\N;M;BE;1855-00-00;1919-00-00;Saint-Andries;Antwerp
7145;Auguste De;Lathouwer;\N;M;BE;1836-00-00;1915-00-00;Louvain;Antwerp
7146;Émile Pierre de;La Montagne;\N;M;BE;1873-00-00;1956-00-00;Antwerp;Brussels
7147;Max;Hoene;\N;M;DE;1884-00-00;1965-00-00;Rudolstadt;Munich
7148;Gustaaf De;Lattin;\N;M;\N;\N;\N;\N;\N
7149;Georg;Jauss;\N;M;DE;1867-00-00;1922-00-00;Hattenhofen;Munich
7150;Adolph Stephan Friedrich;Jentsch;\N;M;DE;1888-00-00;1977-00-00;Dresden;Windhoek
7151;Hans;Pellar;\N;M;AT;1886-00-00;1971-00-00;Vienna;Vienna
7152;Léon;Delderenne;\N;M;BE;1864-00-00;1921-00-00;Antwerp;\N
7153;Fanni;Pietzsch-Westberg;\N;F;\N;1874-00-00;1958-00-00;Lindesberg;Munich
7154;Pieter de;Mets;\N;M;BE;1880-00-00;1965-00-00;Antwerp;Kapellen
7155;H.;Roussel;\N;\N;\N;\N;\N;\N;\N
7156;Alexander von;Salzmann;\N;M;DE;1874-00-00;1934-00-00;Tbilisi;Leysin
7157;Barbara;Davy;\N;F;\N;\N;\N;\N;\N
7158;Albrecht de;Vriendt;\N;M;BE;1843-00-00;1900-00-00;Ghent;Antwerp
7159;M. Evergood;Blashki;\N;M;US;1871-00-00;1939-00-00;Melbourne;Melbourne
7160;W. B. C.;Burnet;\N;M;GB;\N;\N;\N;\N
7161;Ruth;Hollingsworth;\N;F;GB;1880-00-00;1945-00-00;London;Dedham
7162;Mary Elizabeth;Atkins;\N;F;GB;\N;\N;London;\N
7163;Franz de;Vadder;\N;M;BE;1862-00-00;1935-00-00;Bruges;Bruges
7164;Pieter;Dierckx;\N;M;BE;1871-00-00;1950-00-00;Antwerp;Antwerp
7165;Paul;Dom;\N;M;BE;1885-00-00;1978-00-00;Antwerp;Hague, The
7166;Stany;Dupuis;\N;\N;BE;1888-00-00;1908-00-00;Antwerp;Antwerp
7167;Alice-M.-T.;Eckermans;\N;F;BE;1863-00-00;1921-00-00;Antwerp;Berchem
7168;Alfred;Elsen;\N;M;BE;1850-00-00;1914-00-00;Antwerp;Antwerp
7169;Léon-E.-M.;Engels;\N;M;BE;1882-00-00;1952-00-00;Saint Niklaas;Antwerp
7170;Joë;English;\N;M;BE;1882-00-00;1918-00-00;Bruges;Vinkem
7171;René;Ernest;\N;M;BE;1875-00-00;1912-00-00;Antwerp;Kalmthout
7172;Felix;Eyskens;\N;M;BE;1882-00-00;1968-00-00;Antwerp;Deurne
7173;Antoine;Fock;\N;M;\N;\N;\N;\N;\N
7174;Catherine M.;Wood;\N;F;GB;1857-00-00;1950-00-00;Islington;Farnham
7175;John Algernon;Hallam;\N;M;GB;1880-00-00;1948-00-00;London;\N
7176;Maud Ireland;Button;\N;F;GB;1877-00-00;1965-00-00;Uxbridge;\N
7177;Ernest George;Beach;\N;M;GB;1865-00-00;1943-00-00;London;\N
7178;Rowley;Leggett;\N;F;GB;1878-00-00;1945-00-00;\N;\N
7179;Giuseppe;Giusti;\N;M;IT;1872-00-00;\N;Perugia;\N
7180;Arthur A.;Friedenson;\N;M;GB;1872-00-00;1955-00-00;Leeds;Dorset
7181;Jane;Welsh;\N;M;\N;\N;\N;\N;\N
7182;Howard;Somerville;\N;M;GB;1873-00-00;1952-00-00;Dundee;Bristol
7183;Mabel;Nicholson;\N;F;GB;1871-00-00;1918-00-00;Edinburgh;England
7184;Algernon;Talmage;\N;M;GB;1871-00-00;1939-00-00;Oxford;Sherfield English
7185;\N;Corregio;\N;M;IT;1489-00-00;1534-00-00;Correggio;Correggio
7186;Lambert;Lombard;\N;M;BE;1506-00-00;1566-00-00;Liège;Liège
7187;Alessandro;Turchi;\N;M;IT;1578-00-00;1649-00-00;Verona;Rome
7188;Bartolomeo;Schedoni;\N;M;IT;1578-00-00;1615-00-00;Formigine;Parma
7189;Harry;Watson;\N;M;GB;1871-00-00;1936-00-00;Scarborough, North Yorkshire;London
7190;C. Edmund;Delbos;\N;M;US;1879-00-00;1949-00-00;\N;\N
7191;Louis;Ginnett;\N;M;GB;1875-00-00;1946-00-00;Brighton;Ditchling
7192;Hayley;Lever;\N;M;US;1876-00-00;1958-00-00;Adelaide;New York
7193;Alphaeus Philemon;Cole;\N;M;US;1876-00-00;1988-00-00;Hoboken;New York
7194;Gertrude M.;Curtis;\N;F;GB;1875-00-00;1921-00-00;Kilninver;London
7195;E. H.;Stephens;\N;F;\N;\N;\N;\N;\N
7196;Hannah;Mayor;\N;F;GB;1871-00-00;1947-00-00;South Yorkshire;Brockham
7197;Elsie;McNaught;\N;F;GB;\N;\N;\N;\N
7198;Muriel;Fewster;\N;F;GB;\N;\N;\N;\N
7199;Ernest;Procter;\N;M;GB;1886-00-00;1935-00-00;Tynemouth;North Shields
7200;Car;Richardson;\N;F;GB;1873-00-00;1959-00-00;Chakrāta;Amersham
7201;Francis;Helps;\N;M;GB;1890-00-00;1972-00-00;Dulwich;\N
7202;A.;Sterndale Bennett;\N;F;\N;\N;\N;\N;\N
7203;Arthur Ernest;Vokes;\N;M;GB;1874-00-00;1964-00-00;Manchester;Midhurst
7204;Jean;Inglis;\N;F;GB;1884-00-00;1959-00-00;Kensington;\N
7205;Dora;Boughton-Leigh;\N;F;GB;\N;\N;Brighton;\N
7206;J. R.;Houghton;\N;M;\N;\N;\N;\N;\N
7207;Henri;Husson;\N;M;FR;1852-00-00;1914-00-00;Grand;Vétheuil
7208;Bohumil;Kafka;\N;M;CZ;1878-00-00;1942-00-00;Nova Paka;Prague
7209;Alec Carruthers;Gould;\N;M;GB;1870-00-00;1948-00-00;Woodford;\N
7210;E. de [Mlle.];Kruglikov;\N;F;RU;1865-00-00;1941-00-00;Saint Petersburg;Saint Petersburg
7211;Marie Anne;Lafaurie;\N;F;\N;\N;\N;Strasbourg;\N
7212;Alphonse;Lafitte;\N;M;FR;1863-00-00;\N;Paris;\N
7213;Sylvia E.;Packard;\N;F;\N;\N;\N;\N;\N
7214;Abel;Lafleur;\N;M;FR;1875-00-00;1953-00-00;Rodez;Boulogne-Billancourt
7215;René;Lalique;\N;M;FR;1860-00-00;1945-00-00;Ay;Paris
7216;Raoul;Lamourdedieu;\N;M;FR;1877-00-00;1953-00-00;Fauguerolles;Pierrefonds
7217;Antonin;Larroux;\N;M;FR;1859-00-00;1913-00-00;Toulouse;\N
7218;Louis;Le Bail;\N;M;FR;1866-00-00;1942-00-00;Évron;Assé-le-Bérenger
7219;Albert Eugène;Lechat;\N;M;FR;1863-00-00;1918-00-00;Lille;Berck
7220;Charles;Le Cour;\N;M;FR;\N;\N;Paris;\N
7221;Albert Wilhelm;Lefebre;\N;M;DE;1873-00-00;1974-00-00;Frankfurt am Main;Merano
7222;Jean-Louis;Lefort;\N;M;FR;1875-00-00;1954-00-00;Bordeaux;\N
7223;Jacques;Nam;\N;M;FR;1881-00-00;1974-00-00;Paris;Paris
7224;Hedwig von;Lekow;\N;F;HU;\N;\N;Nagyvázsony;\N
7225;Edmond;Lempereur;\N;M;FR;1876-00-00;1909-00-00;Oullins;Oullins
7226;Alfred Marie;Le Petit;\N;M;FR;1876-00-00;1953-00-00;Fallencourt;La Frette-sur-Seine
7227;Anastazy;Lepla;\N;M;PL;1871-00-00;1949-00-00;Sieradz;Paris
7228;Gabrielle;Le Roy Desrivières;\N;F;FR;\N;\N;Évreux;\N
7229;Raymond Urbain Élie;Lévi-Strauss;\N;M;FR;1881-00-00;1953-00-00;Paris;Paris
7230;Raphael;Lewisohn;\N;M;FR;1863-00-00;1923-00-00;Hamburg;Paris
7231;Louis Pierre Lucien;Leydet;\N;M;FR;1873-00-00;1944-00-00;Aix-en-Provence;Nice
7232;Hubert;Liebart;\N;M;FR;\N;\N;Armentières;\N
7233;Léopold de;Lima;\N;M;BR;\N;\N;Paris;\N
7234;Octave;Linet;\N;M;FR;1870-00-00;1962-00-00;Bléré;Paris
7235;Franz;Löhr;\N;M;DE;1874-00-00;1918-00-00;Cologne;Cologne
7236;Filippo;Lovatelli;\N;M;IT;\N;\N;Rome;\N
7237;Antonio;Lozano Garcia;\N;M;ES;\N;\N;Seville;\N
7238;Julius;Lüders;\N;M;DE;1869-00-00;\N;Lubeck;\N
7239;Fredda;MacDonald;\N;F;GB;\N;\N;Shimla;\N
7240;Paul;Madelain;\N;M;FR;1863-00-00;1920-00-00;Paris;Paris
7241;Paul;Magne de la Croix;\N;M;FR;1875-00-00;\N;Paris;\N
7242;Paul-Emile;Mangeant;\N;M;FR;1868-00-00;1938-00-00;Paris;\N
7243;Marc Mlle.;Mangin;\N;F;FR;\N;\N;Dijon;\N
7244;Henry;Marceau;\N;M;FR;\N;\N;Guérande;\N
7245;Lucy;Marchandise;\N;F;FR;\N;\N;Paris;\N
7246;G.;Margueritt;\N;F;FR;\N;\N;Paris;\N
7247;Maurice;Marinot;\N;M;FR;1881-00-00;1960-00-00;Troyes;Troyes
7248;François de;Marliave;\N;M;FR;1874-00-00;1953-00-00;Toulon;Draguignan
7249;Henri Justin;Marret;\N;M;FR;1878-00-00;1964-00-00;Paris;Fourqueux
7250;Georges;Husson;\N;M;FR;\N;\N;Paris;\N
7251;Gaston de;Latenay;\N;M;FR;1859-00-00;1943-00-00;Toulouse;Paris
7252;Lucien;Abrams;\N;M;US;1870-00-00;1941-00-00;Lawrence;New Haven
7253;Pierre-André;Andry-Farcy;\N;M;FR;1882-00-00;1950-00-00;Charleville;Grenoble
7254;Gaston;d'Argollo;\N;M;\N;\N;\N;London;\N
7255;Frank Milton;Armington;\N;M;CA;1876-00-00;1941-00-00;Howick, Ontario;New York
7256;Borghild;Arnesen;\N;F;NO;1872-00-00;1950-00-00;Sarpsborg;Oslo
7257;Henry;Arnold;\N;M;FR;1879-00-00;1945-00-00;Paris;Paris
7258;Celestin Paul Rosemond;Audra;\N;M;FR;1869-00-00;1947-00-00;Valence, Drôme;Hejnice
7259;Annie;Avog;\N;F;DE;\N;\N;Colmar;\N
7260;Raoul;Bacard;\N;M;FR;\N;\N;Nogent-sur-Marne;\N
7261;Jean-Victor;Badin;\N;M;FR;1872-00-00;1949-00-00;Toulouse;Saint-Prix, Val-d'Oise
7262;Henri;Barberis;\N;M;FR;\N;\N;Moulins, Allier;\N
7263;Jules-Jean-Antoine;Baric;\N;M;FR;1825-00-00;1905-00-00;Tours;Monnaie
7264;Jeanne;Baudot;\N;F;FR;1877-00-00;1957-00-00;Paris;Louveciennes
7265;Elisa;Beetz-Charpentier;\N;F;FR;1875-00-00;1949-00-00;Schaerbeek;Neuilly-sur-Seine
7266;Edouard;Benedictus;\N;M;FR;1878-00-00;1930-00-00;Paris;Paris
7267;John;Beresford;\N;M;GB;\N;\N;Bath;\N
7268;Marie;Bermond;\N;F;FR;1859-00-00;1941-00-00;Albi;Albi
7269;Albertine;Bernouard;\N;F;FR;\N;\N;Paris;\N
7270;Paul François;Berthoud;\N;M;FR;1870-00-00;1939-00-00;Paris;Paris
7271;Paul Émile;Berton;\N;M;FR;1846-00-00;1909-00-00;Chartrettes;Paris
7272;Jean Alfred;Besnard;\N;M;FR;1863-00-00;1924-00-00;Paris;Paris
7273;Robert;Besnard;\N;M;FR;1881-00-00;1914-00-00;London;Chauny
7274;Jacques;Beurdeley;\N;M;FR;1874-00-00;1954-00-00;Paris;Paris
7275;Jean François;Biette;\N;M;FR;\N;\N;Le Havre;\N
7276;Alexandre;Bigot;\N;M;FR;1862-00-00;1927-00-00;Mer, Loir-et-Cher;Paris
7277;Raymond;Bigot;\N;M;FR;1872-00-00;1953-00-00;Orbec;Équemauville
7278;Pierre;Albert-Birot;\N;M;FR;1876-00-00;1967-00-00;Angoulême;Paris
7279;Henri Marie;Blanc;\N;M;FR;\N;\N;Paris;\N
7280;Theodor;Baierl;\N;M;DE;1881-00-00;1932-00-00;Munich;Munich
7281;Ivan-Léon;Blanchot;\N;M;FR;1868-00-00;1947-00-00;Bordeaux;Paris
7282;Alexandre;Bloch;\N;M;FR;1860-00-00;1917-00-00;Paris;Paris
7283;Philip Eaton;Bodington;\N;M;GB;1865-00-00;\N;Saltburn-by-the-Sea;\N
7284;Léon Félix Georges;Bonhomme;\N;M;FR;1870-00-00;1924-00-00;Paris;Saint-Denis
7285;Eugène;Bosser;\N;M;FR;\N;\N;Paris;\N
7286;Louis Daniel;Bouchet;\N;M;FR;1860-00-00;1924-00-00;Paris;\N
7287;Renè Alfred;Bouclet;\N;M;FR;\N;\N;Paris;\N
7288;Maurice;Boudot-Lamotte;\N;M;FR;1878-00-00;1958-00-00;La Fère;Paris
7289;Stéphanie Constance;Bourdelle;\N;F;FR;\N;\N;Paris;\N
7290;Raoul;Bourdier;\N;M;FR;1858-00-00;1925-00-00;Ingrandes;\N
7291;Otto;Dill;\N;M;DE;1884-00-00;1957-00-00;Neustadt in Sachsen;Bad Dürkheim
7292;Paula;Fritsch;\N;F;\N;\N;\N;\N;\N
7293;Ludwig;Grieb;\N;M;DE;1884-00-00;1945-00-00;Munich;Haar
7294;Anna;Hofmann;\N;F;\N;\N;\N;\N;\N
7295;Michel;Cazin;\N;M;FR;1869-00-00;1917-00-00;Paris;Boulogne
7296;Léon;Richet;\N;M;FR;1847-00-00;1907-00-00;Solesmes, Nord;Fontainebleau
7297;Franz;Naager;\N;M;DE;1870-00-00;1942-00-00;Munich;Munich
7298;Maria;Obermaier;\N;F;\N;\N;\N;\N;\N
7299;Wilhelm;Pechuel-Loesche;\N;M;DE;1885-00-00;1959-00-00;Jena;Cologne
7300;Edgar;Vital;\N;M;CH;1883-00-00;1970-00-00;Ftan;Scuol
7301;Otto;Wirsching;\N;M;DE;1889-00-00;1919-00-00;Nuremberg;Dachau
7302;Alfred;Wittig;\N;M;DE;1874-00-00;1956-00-00;Dresden;Rankweil
7303;Artur;Markowicz;\N;M;PL;1872-00-00;1934-00-00;Podgórze;Cracow
7304;Hubert von;Zwickle;\N;M;AT;1875-00-00;1947-00-00;Salzburg;Vienna
7305;Christian;Bärmann;\N;M;DE;1881-00-00;1924-00-00;Würzburg;Burghausen
7306;Josef;Stoitzner;\N;M;AT;1884-00-00;1951-00-00;Vienna;Bramberg
7307;Sylvia;Pachta;Gräfin;F;AT;1871-00-00;1960-00-00;Vienna;Bad Reichenhall
7308;Josef;Hegenbarth;\N;M;DE;1884-00-00;1962-00-00;Chemnitz;Dresden
7309;Louise;Pollitzer;\N;F;\N;1875-00-00;\N;\N;\N
7310;Maria;Plonowska;\N;F;PL;1878-00-00;1955-00-00;Piotrków Tribunalski;Olkusz
7311;Johann;Talaga;\N;M;\N;\N;\N;\N;\N
7312;Emile;Gastemans;\N;M;BE;1883-00-00;1956-00-00;Borgerhout;Borgerhout
7313;Edouard;Geelhand;\N;M;BE;1853-00-00;1938-00-00;Kapellen;Antwerp
7314;Willem;Geets;\N;M;BE;1838-00-00;1919-00-00;Mechelen;Mechelen
7315;Pieter;Gillis;\N;M;BE;1887-00-00;1965-00-00;Laken;Appels
7316;Corneel;Goddaert;\N;M;\N;\N;\N;\N;\N
7317;Felix;Gogo;\N;M;BE;1872-00-00;1953-00-00;Antwerp;Antwerp
7318;Paul;Gorge;\N;M;BE;1856-00-00;1941-00-00;Antwerp;Berchem
7319;Marie;Grosche;\N;F;\N;\N;\N;\N;\N
7320;Leopold;Haeck;\N;M;BE;1868-00-00;1928-00-00;Antwerp;Wijnegem
7321;Fritz;Hanno;\N;M;\N;\N;\N;\N;\N
7322;Leon;Houbaer;\N;M;BE;1874-00-00;\N;\N;\N
7323;Jacques;Janssens;\N;M;\N;\N;\N;\N;\N
7324;Jozef Marie Louis;Janssens;\N;M;BE;1854-00-00;1930-00-00;Saint Niklaas;Antwerp
7325;John;Janssens;\N;M;\N;\N;\N;\N;\N
7326;Eugène;Joors;\N;M;BE;1850-00-00;1910-00-00;Borgerhout;Berchem (Oost-Vlaanderen)
7327;Anna;Kernkamp;\N;F;BE;1868-00-00;1947-00-00;Antwerp;Brasschaat
7328;Friedrich Ferdinand;Koch;\N;M;DE;1863-00-00;1923-00-00;Landau in der Pfalz;Landau in der Pfalz
7329;Henri;Kokken;\N;M;BE;1860-00-00;1941-00-00;Antwerp;Antwerp
7330;François;Lamorinière;\N;M;BE;1828-00-00;1911-00-00;Antwerp;Antwerp
7331;Aldor;Lamote;\N;M;BE;1880-00-00;1949-00-00;\N;\N
7332;Louise;Laridon;\N;F;BE;1868-00-00;1943-00-00;Liège;Antwerp
7333;Lucy;Laridon;\N;F;\N;\N;\N;\N;\N
7334;Rose - J.;Leigh;\N;F;BE;1853-00-00;1920-00-00;Antwerp;London
7335;Ferdinand Georges;Lemmers;\N;M;BE;1871-00-00;1944-00-00;Antwerp;Lisbon
7336;Hubert - J. - C.- M.;Leo Primavesi;\N;M;\N;\N;\N;\N;\N
7337;Ben;Linnig;\N;M;BE;1860-00-00;1929-00-00;Antwerp;Antwerp
7338;Armand - F. - C.;Maclot;\N;M;BE;1877-00-00;1959-00-00;Antwerp;Genk
7339;Otto;Lange;\N;M;DE;1879-00-00;1944-00-00;Dresden;Dresden
7340;Josef;Mauder;\N;M;CZ;1854-00-00;1920-00-00;Prague;Prague
7341;Emiel;Maeyens;\N;M;\N;1882-00-00;1952-00-00;\N;\N
7342;Göthe;Nyman;\N;M;SE;1879-00-00;1957-00-00;Gothenburg;\N
7343;Alberic;Matthys;\N;M;BE;1877-00-00;1952-00-00;Vichte;Oudenaarde
7344;Sofija;Levyc'ka;\N;F;UA;1874-00-00;1937-00-00;Vilhivtsi;Paris
7345;R.;Mayer van den Bergh;\N;F;\N;\N;\N;\N;\N
7346;Otto;Pankok;\N;M;DE;1893-00-00;1966-00-00;Mülheim an der Ruhr;Wesel
7347;Georg;Pfeil;\N;M;DE;1891-00-00;1915-00-00;Hanover;Comines
7348;Jeroom;Mees;\N;M;\N;\N;\N;\N;\N
7349;Carl-Fr.;Meyer-Lesaar;\N;M;DE;1883-00-00;1941-00-00;Emmerich;Ephraim
7350;Emile-A.;Meyer;\N;M;\N;\N;\N;\N;\N
7351;Isidore;Meyers;\N;M;BE;1836-00-00;1917-00-00;Antwerp;Brussels
7352;Antoine;Michaux;\N;M;\N;\N;\N;\N;\N
7353;Ernest;Midy;\N;M;BE;1878-00-00;1938-00-00;Mol;\N
7354;Robert Charles Gustave Laurent;Mols;\N;M;BE;1848-00-00;1903-00-00;Antwerp;Antwerp
7355;Adrienne;Mols;\N;F;\N;\N;\N;\N;\N
7356;Frans;Mortelmans;\N;M;BE;1865-00-00;1936-00-00;Antwerp;Antwerp
7357;Antonie-E.;Müller;\N;F;\N;\N;\N;\N;\N
7358;Antoon;Musters;\N;M;\N;\N;\N;\N;\N
7359;Alba;Muzio;\N;F;\N;\N;\N;\N;\N
7360;Louis-Denis-Marie-Joseph;Azaïs;\N;M;FR;1855-00-00;\N;Castres;\N
7361;Jeanne;Boyé;\N;F;\N;\N;\N;Toulouse;\N
7362;Paul;Renner;\N;M;DE;1878-00-00;1956-00-00;Wernigerode;Hödingen
7363;Ernest;Boudet;\N;M;FR;1879-00-00;1926-00-00;Vichères;\N
7364;Heimo;Schöllkopf;\N;M;DE;1888-00-00;1982-00-00;Nuremberg;Gerlingen
7365;M;Schwarzer;\N;\N;\N;\N;\N;\N;\N
7366;Hippolyte;Bringuier;\N;M;FR;1838-00-00;1928-00-00;Béziers;Castelnaudary
7367;Félix;Cambon;\N;M;FR;1875-00-00;1961-00-00;Sète;Béziers
7368;Albert;Capin;\N;M;\N;\N;\N;\N;\N
7369;Jules;Cayron;\N;M;FR;1868-00-00;1940-00-00;Paris;Paris
7370;Alphonse;Fauré;\N;M;FR;1865-00-00;1947-00-00;Toulouse;Toulouse
7371;Pierre Auguste de;France-Mandoul;\N;M;FR;1886-00-00;1914-00-00;\N;Aussillon
7372;Francois;Gauzi;\N;M;FR;1862-00-00;1933-00-00;Fronton;Toulouse
7373;Henri;Germa;\N;M;FR;1879-00-00;\N;Azille;\N
7374;Georges;Nauwelaerts;\N;M;BE;1873-00-00;1939-00-00;Antwerp;Brussels
7375;Emiel;Nelis;\N;M;BE;1853-00-00;\N;Waasmunster;\N
7376;Karel;Ooms;\N;M;BE;1845-00-00;1900-00-00;Dessel;Cannes
7377;Kurt;Peiser;\N;M;BE;1887-00-00;1962-00-00;Antwerp;Uccle
7378;Edward Antoon;Portielje;\N;M;BE;1861-00-00;1949-00-00;Antwerp;Antwerp
7379;Gerard Jozef;Portielje;\N;M;BE;1856-00-00;1929-00-00;Antwerp;Remich
7380;Jozef Karel Frans;Posenaer;\N;M;BE;1876-00-00;1935-00-00;Antwerp;Borgerhout
7381;Hippolyte;Prat;\N;M;BE;1863-00-00;\N;Antwerp;\N
7382;Frans;Proost;\N;M;BE;1866-00-00;1941-00-00;Antwerp;\N
7383;Hans;Trudel;\N;M;CH;1881-00-00;1958-00-00;Zurich;Zurich
7384;Jozef;Quisthoudt;\N;M;BE;1883-00-00;1953-00-00;Antwerp;Ypres
7385;Meta;Voigt;\N;F;DE;1866-00-00;\N;Rostock;Dresden
7386;Ernst;Wagner;\N;M;DE;1877-00-00;1951-00-00;Celje;Ammerland
7387;Theo;Waidenschlager;\N;M;DE;1873-00-00;1936-00-00;Weißenburg in Bayern;Munich
7388;Edouard;Quitton;\N;M;BE;1842-00-00;1934-00-00;Péruwelz;Laken
7389;Jos.-Leopold;Ratinckx;\N;M;BE;1860-00-00;1937-00-00;Antwerp;Berchem
7390;Joseph;Renis;\N;M;BE;1879-00-00;1954-00-00;\N;Ixelles
7391;Leon;Riket;\N;M;BE;1876-00-00;1938-00-00;Antwerp;Antwerp
7392;Jean Guillaume;Rosier;\N;M;BE;1858-00-00;1931-00-00;Lanaken;Antwerp
7393;R. G.;Goodman;\N;M;\N;\N;\N;\N;\N
7394;Henri Pieter Edward;Rul;\N;M;BE;1862-00-00;1942-00-00;Antwerp;Viersel
7395;Robert Gwelo;Goodman;\N;M;ZA;1871-00-00;1939-00-00;Taplow;Cape Town
7396;Maurice;Seghers;\N;M;BE;1883-00-00;1959-00-00;Antwerp;Antwerp
7397;Joseph;Schippers;\N;M;BE;1868-00-00;1950-00-00;Antwerp;\N
7398;Phyllis Mable;Barron;\N;F;GB;1890-00-00;1964-00-00;Taplow;\N
7399;Duncan;Bluett;\N;M;\N;\N;\N;\N;\N
7400;Eugene;Siberdt;\N;M;BE;1851-00-00;1931-00-00;Antwerp;Antwerp
7401;Eveleen;Buckton;\N;F;GB;1872-00-00;1962-00-00;Haslemere;Hampstead
7402;Romain;Steppe;\N;M;BE;1859-00-00;1927-00-00;Antwerp;Antwerp
7403;Emiel;Stoffels;\N;M;\N;\N;\N;\N;\N
7404;Victor;Thonet;\N;M;BE;1885-00-00;1952-00-00;Antwerp;Kalmthout
7405;Maxwell Gordon;Lightfoot;\N;M;GB;1886-00-00;1911-00-00;Liverpool;London
7406;Henri;Timmermans;\N;M;BE;1858-00-00;1942-00-00;Antwerp;\N
7407;Gurnell Charles;Jennis;\N;M;GB;1874-00-00;1943-00-00;\N;\N
7408;Henry Hope;Reed;\N;M;GB;1877-00-00;1970-00-00;\N;\N
7409;Charles Henry;Baskett;\N;M;GB;1872-00-00;1953-00-00;Colchester;Southampton
7410;Edward;Tyck;\N;M;BE;1847-00-00;1922-00-00;Antwerp;Antwerp
7411;Dorothy;Stevens;\N;F;CA;1888-00-00;1966-00-00;Toronto;Toronto
7412;Donald Shaw;MacLaughlan;\N;M;US;1876-00-00;1938-00-00;Charlottetown;Marakesh
7413;Rudolf;Ihlee;\N;M;GB;1883-00-00;1968-00-00;Wimbledon;Peterborough
7414;Alfred;Bentley;\N;M;GB;1879-00-00;1923-00-00;London;London
7415;Mary;Hogarth;\N;F;GB;1862-00-00;1935-00-00;Barton-upon-Humber;London
7416;H. Mulready;Stone;\N;M;GB;1860-00-00;\N;\N;\N
7417;Leo Van;Aken;\N;M;BE;1857-00-00;1904-00-00;Antwerp;Antwerp
7418;Herman-F.-C.-B. van den;Berghe;\N;M;\N;\N;\N;\N;\N
7419;J.-Emmanuel, van den;Bussche;\N;M;BE;1837-00-00;1908-00-00;Antwerp;Bosvoorde
7420;Henri van den;Wildenbergh;\N;M;\N;\N;\N;\N;\N
7421;Hendrik Van Der;Borcht;\N;M;BE;1849-00-00;1918-00-00;Antwerp;\N
7422;Piet Jan;Van der Ouderaa;\N;M;BE;1841-00-00;1915-00-00;Antwerp;Antwerp
7423;Joseph;Vanderoye;\N;M;\N;\N;\N;\N;\N
7424;Victor van der;Veken;\N;M;\N;\N;\N;\N;\N
7425;\N;velde;\N;\N;\N;\N;\N;\N;\N
7426;Alphonse van der;Velde;\N;M;BE;1870-00-00;1936-00-00;Antwerp;Leyden
7427;Louis van;Dievort;\N;M;\N;1875-00-00;1963-00-00;\N;\N
7428;Piet van;Engelen;\N;M;BE;1863-00-00;1924-00-00;Lier;Antwerp
7429;Theo van;Doormael;\N;M;BE;1871-00-00;1910-00-00;Standdaarbuiten;Antwerp
7430;Constant van;Hoorde;\N;M;BE;1876-00-00;\N;\N;\N
7431;Clothildis van;Doormaal-Van der Ouderaa;\N;F;\N;\N;\N;\N;\N
7432;Hendrik van;Kaldekerken;\N;M;BE;1870-00-00;1939-00-00;Antwerp;\N
7433;Emiel van;Kerckhoven;\N;M;BE;1877-00-00;1946-00-00;Antwerp;Bonheiden
7434;Frans Pieter Lodewijk van;Kuyck;\N;M;BE;1852-00-00;1915-00-00;Antwerp;Antwerp
7435;Jef. van;Leemputten;\N;M;BE;1865-00-00;1948-00-00;Werchter;\N
7436;Emiel van;Marsenille;\N;M;BE;1882-00-00;\N;Antwerp;\N
